eenheid_id;bouwnummer;straat;huisnummer;huisletter;huisnummertoevoeging;postcode;plaats;type_overzicht;cluster_naam;pand_id;bag_verblijfsobject;bag_nummeraanduiding;woningwaarderingstelsel;pandsoort;bouwjaar;klimaatbeheersing;woz_waarde;woz_peildatum;energielabel;energieprestatie_soort;energieprestatie_waarde;energieprestatie_begindatum;energieprestatie_einddatum;monument;gebruiksoppervlakte
3004587;1;Fascinatio Boulevard;1400;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940662;0502200000940663;ZEL;MGW;;;;;;;;;;;
3004588;2;Fascinatio Boulevard;1402;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940664;0502200000940665;ZEL;MGW;;;;;;;;;;;
3004589;3;Fascinatio Boulevard;1404;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940666;0502200000940667;ZEL;MGW;;;;;;;;;;;
3004590;4;Fascinatio Boulevard;1406;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940668;0502200000940669;ZEL;MGW;;;;;;;;;;;
3004591;5;Fascinatio Boulevard;1408;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940670;0502200000940671;ZEL;MGW;;;;;;;;;;;
3004592;6;Fascinatio Boulevard;1410;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940672;0502200000940673;ZEL;MGW;;;;;;;;;;;
3004593;7;Fascinatio Boulevard;1412;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940674;0502200000940675;ZEL;MGW;;;;;;;;;;;
3004594;8;Fascinatio Boulevard;1414;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940676;0502200000940677;ZEL;MGW;;;;;;;;;;;
3004595;9;Fascinatio Boulevard;1416;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940678;0502200000940679;ZEL;MGW;;;;;;;;;;;
3004596;10;Fascinatio Boulevard;1418;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940680;0502200000940681;ZEL;MGW;;;;;;;;;;;
3004597;11;Fascinatio Boulevard;1420;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940682;0502200000940683;ZEL;MGW;;;;;;;;;;;
3004598;12;Fascinatio Boulevard;1422;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940684;0502200000940685;ZEL;MGW;;;;;;;;;;;
3004599;13;Fascinatio Boulevard;1424;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940686;0502200000940687;ZEL;MGW;;;;;;;;;;;
3004600;14;Fascinatio Boulevard;1426;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940688;0502200000940689;ZEL;MGW;;;;;;;;;;;
3004601;15;Fascinatio Boulevard;1428;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3 hoek;Fascinatio 1400-1464 WON;502100000940661;0502010000940690;0502200000940691;ZEL;MGW;;;;;;;;;;;
3004602;16;Fascinatio Boulevard;1430;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940692;0502200000940693;ZEL;MGW;;;;;;;;;;;
3004603;17;Fascinatio Boulevard;1432;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940694;0502200000940695;ZEL;MGW;;;;;;;;;;;
3004604;18;Fascinatio Boulevard;1434;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940696;0502200000940697;ZEL;MGW;;;;;;;;;;;
3004605;19;Fascinatio Boulevard;1436;;;2909 VD;CAPELLE AAN DEN IJSSEL;B3;Fascinatio 1400-1464 WON;502100000940661;0502010000940698;0502200000940699;ZEL;MGW;;;;;;;;;;;
