eenheid_id;bouwnummer;building;apt_type;apt_index;ruimte_id;ifc_guid;naam;soort_code;soort_naam;detail_soort_code;detail_soort_naam;oppervlakte_m2;inhoud_m3;hoogte_mm;verwarmd;verkoeld;afsluitbaar;bouwlaag;sanitair;aanrecht_lengte_mm;gedeeld_met_aantal
3004591;5;B3;hoek;0;0.07.2791;3CW2OTUQH5nOxnBihfaBlC;woonkamer / keuken;VTK;Vertrek;WOO;Woonkamer;28.03;68.35;2438.0;ja;nee;ja;;;2100;
3004591;5;B3;hoek;0;0.07.2792;2RKwsyxeXBEPvuFHMBQYik;slaapkamer 1;VTK;Vertrek;SLA;Slaapkamer;6.22;15.18;2438.0;ja;nee;ja;;;;
3004591;5;B3;hoek;0;0.07.2793;19NicYywDB7vznlMpbMSOj;slaapkamer 2;VTK;Vertrek;SLA;Slaapkamer;10.81;26.35;2438.0;ja;nee;ja;;;;
3004591;5;B3;hoek;0;0.07.2794;0APm2asvn2uBZunTtuEey$;entree;VRK;Verkeersruimte;HAL;Hal;10.58;25.79;2438.0;nee;nee;nee;;;;
3004591;5;B3;hoek;0;0.07.2795;1S09WgVTnA1BvT3_qh4Qt0;badkamer;VTK;Vertrek;BAD;Badruimte;5.09;12.41;2438.0;ja;nee;ja;;DOU,WAS;;
3004591;5;B3;hoek;0;0.07.2796;3LqYfUFzjAK99L0d5kT19H;technische ruimte;OVR;Overige ruimtes;TEC;Technische ruimte;4.13;10.06;2438.0;nee;nee;nee;;;;
3004592;6;B3;hoek;1;0.07.2797;3CW9f5u_f33vWgIs6DiObt;woonkamer / keuken;VTK;Vertrek;WOO;Woonkamer;27.89;68.0;2438.0;ja;nee;ja;;;2100;
3004592;6;B3;hoek;1;0.07.2798;1LtJGlddjFq9r46o8L6aA6;slaapkamer 2;VTK;Vertrek;SLA;Slaapkamer;6.21;15.14;2438.0;ja;nee;ja;;;;
3004592;6;B3;hoek;1;0.07.2799;1HmOnd92rETByvUGu$xBvp;slaapkamer 1;VTK;Vertrek;SLA;Slaapkamer;11.18;27.25;2438.0;ja;nee;ja;;;;
3004592;6;B3;hoek;1;0.07.2800;0xpUyZIIf2Iv8EDOLcDnNR;entree;VRK;Verkeersruimte;HAL;Hal;10.36;25.25;2438.0;nee;nee;nee;;;;
3004592;6;B3;hoek;1;0.07.2801;26bvHdCB999P1dTV1tMtgX;badkamer;VTK;Vertrek;BAD;Badruimte;5.09;12.41;2438.0;ja;nee;ja;;DOU,WAS;;
3004592;6;B3;hoek;1;0.07.2802;27Nwr6la57X8aFcGs$573l;technische ruimte;OVR;Overige ruimtes;TEC;Technische ruimte;4.13;10.06;2438.0;nee;nee;nee;;;;
3004600;14;B3;hoek;2;0.07.2803;2iWA$kT3TCLQLeDObCggWm;woonkamer / keuken;VTK;Vertrek;WOO;Woonkamer;28.03;68.35;2438.0;ja;nee;ja;;;2100;
3004600;14;B3;hoek;2;0.07.2804;1NcTKIzeL8XggrgtDGT_4r;slaapkamer 1;VTK;Vertrek;SLA;Slaapkamer;6.22;15.18;2438.0;ja;nee;ja;;;;
3004600;14;B3;hoek;2;0.07.2805;2iuJbMCEP1sxeTW2G_edGu;slaapkamer 2;VTK;Vertrek;SLA;Slaapkamer;10.81;26.35;2438.0;ja;nee;ja;;;;
3004600;14;B3;hoek;2;0.07.2806;3sYxyLWf1BPxVuGqrC1kp$;entree;VRK;Verkeersruimte;HAL;Hal;10.58;25.79;2438.0;nee;nee;nee;;;;
3004600;14;B3;hoek;2;0.07.2807;39Xr5D_$H3uu_fN1BMDbGr;badkamer;VTK;Vertrek;BAD;Badruimte;5.09;12.41;2438.0;ja;nee;ja;;DOU,WAS;;
3004600;14;B3;hoek;2;0.07.2808;3aI04s89X0rQajsQQUujSf;technische ruimte;OVR;Overige ruimtes;TEC;Technische ruimte;4.13;10.06;2438.0;nee;nee;nee;;;;
3004587;1;B3;std;3;0.07.2809;1245wJEtD0Z8JZkQgzd7Xa;slaapkamer 2;VTK;Vertrek;SLA;Slaapkamer;5.97;14.57;2438.0;ja;nee;ja;;;;
3004587;1;B3;std;3;0.07.2810;2lJpFTOJDEoRDLG6sBMGcW;slaapkamer 1;VTK;Vertrek;SLA;Slaapkamer;11.16;27.2;2438.0;ja;nee;ja;;;;
3004587;1;B3;std;3;0.07.2811;0zkXgn0PbEABkAsxeQG9fd;hal;VRK;Verkeersruimte;HAL;Hal;6.97;17.0;2438.0;ja;nee;nee;;;;
